X,Y2,Y3,Y4,Y5,Y6,Y7,spline_est_3,spline_est_4,spline_est_5,spline_est_6,spline_est_7
18.33333,.0694533,.0745391,.0724814,.0741265,.0371547,.0528976,.0713965,.0708056,.0487285,.0633063,.058575
18.66667,.0676853,.0730391,.0714682,.0731446,.0347813,.0495282,.0703893,.0686637,.045441,.0600605,.0527919
19,.065809,.071414,.070337,.0720677,.0324113,.0460474,.0691973,.0663427,.0422528,.0565724,.0469544
19.33333,.0638246,.0696625,.0690841,.070892,.0300594,.0424906,.0678145,.0638509,.0391968,.05284,.0411924
19.66667,.0617318,.0677836,.0677057,.0696132,.0277392,.0388948,.0662352,.0611969,.0363058,.048897,.0356357
20,.0595309,.0657759,.066198,.0682268,.0254627,.0352973,.0644533,.0583891,.0336127,.0448357,.0304141
20.33333,.0572217,.0636383,.0645568,.0667281,.02324,.0317361,.0624631,.0554361,.0311503,.0407543,.0256575
20.66667,.0548042,.0613695,.0627781,.0651116,.0210792,.0282483,.0602586,.0523462,.0289516,.0367508,.0214957
21,.0522785,.0589684,.0608575,.0633718,.0189856,.0248698,.057834,.0491279,.0270493,.0329231,.0180585
21.33333,.0496446,.0564336,.0587907,.0615026,.0169621,.0216341,.0551839,.0457897,.0254719,.0293695,.015466
21.66667,.0469024,.0537641,.0565732,.0594976,.0150079,.0185716,.052314,.0423401,.0241846,.0261879,.013699
22,.044052,.0509585,.0542002,.0573497,.0131189,.0157082,.0492376,.0387875,.0231053,.0234763,.0126339
22.33333,.0410933,.0480156,.051667,.0550518,.0112871,.0130644,.0459681,.0351404,.0221505,.0213328,.0121446
22.66667,.0380264,.0449343,.0489687,.0525959,.0094998,.0106541,.0425194,.0314073,.0212371,.0198554,.0121047
23,.0348513,.0417134,.0461003,.049974,.0077399,.008483,.0389047,.0275967,.0202817,.0191422,.0123881
23.33333,.0315679,.0383515,.0430565,.0471772,.0059848,.0065471,.0351378,.0237169,.0192009,.0192174,.0128687
23.66667,.0281762,.0348475,.0398322,.0441964,.0042065,.0048314,.0312323,.0197765,.0179114,.019836,.0134203
24,.0246764,.0312002,.0364219,.041022,.0023706,.0033083,.0272016,.015784,.0163299,.020691,.0139166
24.33333,.0210682,.0274084,.03282,.0376437,.0004363,.0019352,.0230594,.0117478,.0143731,.0214757,.0142315
24.66667,.0173519,.0234708,.029021,.0340509,-.0016443,.0006534,.0188193,.0076758,.0119576,.0218834,.0142375
25,.0135273,.0193862,.025019,.0302323,-.0039265,-.0006144,.0144947,.003573,.0090001,.0216072,.0137573
25.33333,.0095944,.0151534,.0208081,.0261763,-.0064739,-.0019663,.0100992,-.0005571,.0054192,.0203404,.0125508
25.66667,.0055533,.0107713,.0163823,.0218705,-.0093585,-.003523,.0056466,-.0047108,.0012089,.0177767,.0103741
26,.001404,.0062385,.0117354,.0173021,-.0126615,-.0054306,.0011502,-.0088845,-.0035395,.013763,.006983
26.33333,-.0028536,.0015538,.0068611,.0124578,-.0164739,-.0078631,-.0033763,-.0130746,-.0087277,.0085185,.0022075
26.66667,-.0072194,-.0032838,.0017531,.0073234,-.0208965,-.0110246,-.0079194,-.0172772,-.0142574,.002318,-.003797
27,-.0116934,-.0082758,-.0035953,.0018846,-.0260414,-.0151527,-.0124665,-.021489,-.0200309,-.0045642,-.0107866
27.33333,-.0162757,-.0134232,-.0091906,-.003874,-.0320318,-.020521,-.0170136,-.0257061,-.0259497,-.0118533,-.0185171
27.66667,-.0209663,-.0187274,-.0150397,-.0099681,-.0390029,-.0274421,-.0215607,-.0299251,-.031918,-.0192811,-.0267445
28,-.0257651,-.0241894,-.0211495,-.016414,-.0471027,-.0362712,-.0261079,-.0341442,-.0378883,-.0267141,-.0352248
28.33333,-.0306721,-.0298107,-.027527,-.0232289,-.0564923,-.047409,-.030655,-.0383632,-.0438585,-.034147,-.0437503
28.66667,-.0356873,-.0355922,-.0341794,-.0304303,-.0673466,-.0613055,-.0352022,-.0425823,-.0498287,-.0415799,-.0522758
29,-.0408109,-.0415353,-.041114,-.0380366,-.0798552,-.0784636,-.0397493,-.0468014,-.0557989,-.0490129,-.0608014
29.33333,-.0460426,-.0476412,-.0483382,-.0460668,-.0942229,-.0994427,-.0442965,-.0510204,-.0617691,-.0564459,-.069327
29.66667,-.0513826,-.0539111,-.0558595,-.0545405,-.1106701,-.1248627,-.0488436,-.0552395,-.0677393,-.0638788,-.0778524
30,-.0568309,-.0603463,-.0636857,-.0634781,-.1294343,-.1554087,-.0533907,-.0594585,-.0737095,-.0713117,-.0863779
30.33333,-.0623873,-.0669478,-.0718245,-.0729007,-.15077,-.1918342,-.0579379,-.0636776,-.0796795,-.0787447,-.0949034
30.66667,-.068052,-.073717,-.0802837,-.0828299,-.1749496,-.2349661,-.062485,-.0678966,-.0856498,-.0861776,-.1034289
31,-.073825,-.0806551,-.0890716,-.0932883,-.2022646,-.2857104,-.0670321,-.0721157,-.09162,-.0936105,-.1119545
31.33333,-.0797062,-.0877632,-.0981962,-.104299,-.2330257,-.3450548,-.0715793,-.0763347,-.0975901,-.1010435,-.12048
31.66667,-.0856957,-.0950427,-.1076657,-.1158859,-.2675638,-.4140749,-.0761264,-.0805538,-.1035603,-.1084764,-.1290054
32,-.0917934,-.1024946,-.1174888,-.1280739,-.3062316,-.4939404,-.0806735,-.0847728,-.1095306,-.1159093,-.137531
32.33333,-.0979993,-.1101203,-.1276738,-.1408882,-.3494025,-.5859176,-.0852207,-.0889919,-.1155007,-.1233423,-.1460564
32.66667,-.1043135,-.117921,-.1382297,-.1543554,-.397474,-.6913792,-.0897678,-.093211,-.121471,-.1307753,-.1545822
33,-.1107359,-.1258978,-.1491648,-.168502,-.4508651,-.8118034,-.094315,-.09743,-.1274412,-.1382082,-.163107
,,,,,,,,,,,
